time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190101:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190101:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190101:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190101:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190101:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190101:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190101:0710,30.46,48.8,7.7,0.0,0.0,0.0
20190101:0810,93.95,121.55,16.25,0.0,0.0,0.0
20190101:0910,58.8,81.95,22.96,0.0,0.0,0.0
20190101:1010,169.29,205.35,27.21,0.0,0.0,0.0
20190101:1110,184.12,221.92,28.46,0.0,0.0,0.0
20190101:1210,457.49,533.58,26.54,0.0,0.0,0.0
20190101:1310,122.09,152.86,21.72,0.0,0.0,0.0
20190101:1410,64.46,88.4,14.57,0.0,0.0,0.0
20190101:1510,17.91,33.15,5.7,0.0,0.0,0.0
20190101:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190101:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190101:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190101:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190101:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190101:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190101:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190101:2310,0.0,0.0,0.0,0.0,0.0,0.0
20190102:0010,0.0,0.0,0.0,0.0,0.0,0.0
20190102:0110,0.0,0.0,0.0,0.0,0.0,0.0
20190102:0210,0.0,0.0,0.0,0.0,0.0,0.0
20190102:0310,0.0,0.0,0.0,0.0,0.0,0.0
20190102:0410,0.0,0.0,0.0,0.0,0.0,0.0
20190102:0510,0.0,0.0,0.0,0.0,0.0,0.0
20190102:0610,0.0,0.0,0.0,0.0,0.0,0.0
20190102:0710,29.7,47.88,7.69,0.0,0.0,0.0
20190102:0810,79.96,105.9,16.27,0.0,0.0,0.0
20190102:0910,112.98,142.73,23.0,0.0,0.0,0.0
20190102:1010,31.22,49.73,27.27,0.0,0.0,0.0
20190102:1110,26.69,44.2,28.55,0.0,0.0,0.0
20190102:1210,54.82,77.39,26.65,0.0,0.0,0.0
20190102:1310,71.78,96.69,21.85,0.0,0.0,0.0
20190102:1410,71.78,96.69,14.7,0.0,0.0,0.0
20190102:1510,18.62,34.07,5.83,0.0,0.0,0.0
20190102:1610,0.0,0.0,0.0,0.0,0.0,0.0
20190102:1710,0.0,0.0,0.0,0.0,0.0,0.0
20190102:1810,0.0,0.0,0.0,0.0,0.0,0.0
20190102:1910,0.0,0.0,0.0,0.0,0.0,0.0
20190102:2010,0.0,0.0,0.0,0.0,0.0,0.0
20190102:2110,0.0,0.0,0.0,0.0,0.0,0.0
20190102:2210,0.0,0.0,0.0,0.0,0.0,0.0
20190102:2310,0.0,0.0,0.0,0.0,0.0,0.0
