time,P,G(i),H_sun,T2m,WS10m,Int
2019-01-01 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 04:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 08:10:00,30.46,48.8,7.7,0.0,0.0,0.0
2019-01-01 09:10:00,93.95,121.55,16.25,0.0,0.0,0.0
2019-01-01 10:10:00,58.8,81.95,22.96,0.0,0.0,0.0
2019-01-01 11:10:00,169.29,205.35,27.21,0.0,0.0,0.0
2019-01-01 12:10:00,184.12,221.92,28.46,0.0,0.0,0.0
2019-01-01 13:10:00,457.49,533.58,26.54,0.0,0.0,0.0
2019-01-01 14:10:00,122.09,152.86,21.72,0.0,0.0,0.0
2019-01-01 15:10:00,64.46,88.4,14.57,0.0,0.0,0.0
2019-01-01 16:10:00,17.91,33.15,5.7,0.0,0.0,0.0
2019-01-01 17:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 18:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 21:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 04:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 08:10:00,29.7,47.88,7.69,0.0,0.0,0.0
2019-01-02 09:10:00,79.96,105.9,16.27,0.0,0.0,0.0
2019-01-02 10:10:00,112.98,142.73,23.0,0.0,0.0,0.0
2019-01-02 11:10:00,31.22,49.73,27.27,0.0,0.0,0.0
2019-01-02 12:10:00,26.69,44.2,28.55,0.0,0.0,0.0
2019-01-02 13:10:00,54.82,77.39,26.65,0.0,0.0,0.0
2019-01-02 14:10:00,71.78,96.69,21.85,0.0,0.0,0.0
2019-01-02 15:10:00,71.78,96.69,14.7,0.0,0.0,0.0
2019-01-02 16:10:00,18.62,34.07,5.83,0.0,0.0,0.0
2019-01-02 17:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 18:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 21:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 04:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 08:10:00,32.75,51.57,7.69,0.0,0.0,0.0
2019-01-03 09:10:00,93.95,121.55,16.29,0.0,0.0,0.0
2019-01-03 10:10:00,146.13,179.56,23.05,0.0,0.0,0.0
2019-01-03 11:10:00,146.13,179.56,27.34,0.0,0.0,0.0
2019-01-03 12:10:00,165.98,201.66,28.65,0.0,0.0,0.0
2019-01-03 13:10:00,361.94,420.69,26.77,0.0,0.0,0.0
2019-01-03 14:10:00,57.99,81.03,21.97,0.0,0.0,0.0
2019-01-03 15:10:00,75.87,101.29,14.84,0.0,0.0,0.0
2019-01-03 16:10:00,0.01,5.53,5.97,0.0,0.0,0.0
2019-01-03 17:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 18:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 21:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-04 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-04 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-04 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0
