time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0030,641.72,773.44,76.11,0.0,0.0,0.0
20190101:0130,514.51,608.37,63.99,0.0,0.0,0.0
20190101:0230,424.48,498.08,50.49,0.0,0.0,0.0
20190101:0330,239.33,283.63,36.71,0.0,0.0,0.0
20190101:0430,142.24,175.69,22.93,0.0,0.0,0.0
20190101:0530,87.71,117.2,9.26,0.0,0.0,0.0
20190101:0630,0.0,0.0,-4.17,0.0,0.0,0.0
20190101:0730,0.0,0.0,-17.17,0.0,0.0,0.0
20190101:0830,0.0,0.0,0.0,0.0,0.0,0.0
20190101:0930,0.0,0.0,0.0,0.0,0.0,0.0
20190101:1030,0.0,0.0,0.0,0.0,0.0,0.0
20190101:1130,0.0,0.0,0.0,0.0,0.0,0.0
20190101:1230,0.0,0.0,0.0,0.0,0.0,0.0
20190101:1330,0.0,0.0,0.0,0.0,0.0,0.0
20190101:1430,0.0,0.0,0.0,0.0,0.0,0.0
20190101:1530,0.0,0.0,0.0,0.0,0.0,0.0
20190101:1630,0.0,0.0,0.0,0.0,0.0,0.0
20190101:1730,0.0,0.0,0.0,0.0,0.0,0.0
20190101:1830,3.19,12.21,14.62,0.0,0.0,0.0
20190101:1930,70.38,95.22,28.35,0.0,0.0,0.0
20190101:2030,191.74,228.44,42.15,0.0,0.0,0.0
20190101:2130,359.38,416.04,55.86,0.0,0.0,0.0
20190101:2230,431.06,501.85,69.07,0.0,0.0,0.0
20190101:2330,502.35,587.86,79.37,0.0,0.0,0.0
20190102:0030,605.88,721.38,76.25,0.0,0.0,0.0
20190102:0130,615.18,737.05,64.11,0.0,0.0,0.0
20190102:0230,518.48,610.47,50.6,0.0,0.0,0.0
20190102:0330,328.22,383.63,36.82,0.0,0.0,0.0
20190102:0430,181.06,221.26,23.02,0.0,0.0,0.0
20190102:0530,65.0,92.95,9.34,0.0,0.0,0.0
20190102:0630,0.0,0.0,-4.09,0.0,0.0,0.0
20190102:0730,0.0,0.0,-17.11,0.0,0.0,0.0
20190102:0830,0.0,0.0,0.0,0.0,0.0,0.0
20190102:0930,0.0,0.0,0.0,0.0,0.0,0.0
20190102:1030,0.0,0.0,0.0,0.0,0.0,0.0
20190102:1130,0.0,0.0,0.0,0.0,0.0,0.0
20190102:1230,0.0,0.0,0.0,0.0,0.0,0.0
20190102:1330,0.0,0.0,0.0,0.0,0.0,0.0
20190102:1430,0.0,0.0,0.0,0.0,0.0,0.0
20190102:1530,0.0,0.0,0.0,0.0,0.0,0.0
20190102:1630,0.0,0.0,0.0,0.0,0.0,0.0
20190102:1730,0.0,0.0,0.0,0.0,0.0,0.0
20190102:1830,2.46,10.86,14.51,0.0,0.0,0.0
20190102:1930,77.95,103.77,28.24,0.0,0.0,0.0
20190102:2030,127.96,158.56,42.05,0.0,0.0,0.0
20190102:2130,164.7,199.87,55.78,0.0,0.0,0.0
20190102:2230,251.78,297.48,69.01,0.0,0.0,0.0
20190102:2330,387.4,453.85,79.4,0.0,0.0,0.0
20190103:0030,533.8,632.34,76.39,0.0,0.0,0.0
20190103:0130,589.16,705.14,64.23,0.0,0.0,0.0
20190103:0230,537.6,638.98,50.71,0.0,0.0,0.0
20190103:0330,378.38,444.44,36.92,0.0,0.0,0.0
20190103:0430,221.38,265.02,23.11,0.0,0.0,0.0
20190103:0530,97.22,128.63,9.42,0.0,0.0,0.0
20190103:0630,0.0,0.0,-4.02,0.0,0.0,0.0
20190103:0730,0.0,0.0,-17.05,0.0,0.0,0.0
20190103:0830,0.0,0.0,0.0,0.0,0.0,0.0
20190103:0930,0.0,0.0,0.0,0.0,0.0,0.0
20190103:1030,0.0,0.0,0.0,0.0,0.0,0.0
20190103:1130,0.0,0.0,0.0,0.0,0.0,0.0
20190103:1230,0.0,0.0,0.0,0.0,0.0,0.0
20190103:1330,0.0,0.0,0.0,0.0,0.0,0.0
20190103:1430,0.0,0.0,0.0,0.0,0.0,0.0
20190103:1530,0.0,0.0,0.0,0.0,0.0,0.0
20190103:1630,0.0,0.0,0.0,0.0,0.0,0.0
20190103:1730,0.0,0.0,0.0,0.0,0.0,0.0
20190103:1830,0.0,4.3,14.39,0.0,0.0,0.0
20190103:1930,19.4,35.1,28.14,0.0,0.0,0.0
20190103:2030,118.39,148.66,41.96,0.0,0.0,0.0
20190103:2130,237.42,280.17,55.7,0.0,0.0,0.0
20190103:2230,367.14,430.19,68.96,0.0,0.0,0.0
20190103:2330,358.52,420.56,79.44,0.0,0.0,0.0
20190104:0030,505.27,597.54,76.53,0.0,0.0,0.0
