time,P,G(i),H_sun,T2m,WS10m,Int
2019-01-02 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 06:30:00,3.19,12.21,14.62,0.0,0.0,0.0
2019-01-02 07:30:00,70.38,95.22,28.35,0.0,0.0,0.0
2019-01-02 08:30:00,191.74,228.44,42.15,0.0,0.0,0.0
2019-01-02 09:30:00,359.38,416.04,55.86,0.0,0.0,0.0
2019-01-02 10:30:00,431.06,501.85,69.07,0.0,0.0,0.0
2019-01-02 11:30:00,502.35,587.86,79.37,0.0,0.0,0.0
2019-01-02 12:30:00,605.88,721.38,76.25,0.0,0.0,0.0
2019-01-02 13:30:00,615.18,737.05,64.11,0.0,0.0,0.0
2019-01-02 14:30:00,518.48,610.47,50.6,0.0,0.0,0.0
2019-01-02 15:30:00,328.22,383.63,36.82,0.0,0.0,0.0
2019-01-02 16:30:00,181.06,221.26,23.02,0.0,0.0,0.0
2019-01-02 17:30:00,65.0,92.95,9.34,0.0,0.0,0.0
2019-01-02 18:30:00,0.0,0.0,-4.09,0.0,0.0,0.0
2019-01-02 19:30:00,0.0,0.0,-17.11,0.0,0.0,0.0
2019-01-02 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03 06:30:00,2.46,10.86,14.51,0.0,0.0,0.0
2019-01-03 07:30:00,77.95,103.77,28.24,0.0,0.0,0.0
2019-01-03 08:30:00,127.96,158.56,42.05,0.0,0.0,0.0
2019-01-03 09:30:00,164.7,199.87,55.78,0.0,0.0,0.0
2019-01-03 10:30:00,251.78,297.48,69.01,0.0,0.0,0.0
2019-01-03 11:30:00,387.4,453.85,79.4,0.0,0.0,0.0
2019-01-03 12:30:00,533.8,632.34,76.39,0.0,0.0,0.0
2019-01-03 13:30:00,589.16,705.14,64.23,0.0,0.0,0.0
2019-01-03 14:30:00,537.6,638.98,50.71,0.0,0.0,0.0
2019-01-03 15:30:00,378.38,444.44,36.92,0.0,0.0,0.0
2019-01-03 16:30:00,221.38,265.02,23.11,0.0,0.0,0.0
2019-01-03 17:30:00,97.22,128.63,9.42,0.0,0.0,0.0
2019-01-03 18:30:00,0.0,0.0,-4.02,0.0,0.0,0.0
