date,renewable_used,diesel_used,charge,energy_used,accumulator_used,solar_used,wind_used,wec_used,wasted_energy
2019-01-02T00:00:00,1903345.8,0,696224.56,1185588.5,0,0,1903345.8,0,717757.25
2019-01-02T01:00:00,1726360.3,0,1251080.5,1154343.9,0,0,1726360.3,0,572016.4
2019-01-02T02:00:00,1548614.4,0,1407361,1387500.5,0,0,1548614.4,0,161113.88
2019-01-02T03:00:00,1317596.4,0,1164491,1555609,238012.63,0,1317596.4,0,0
2019-01-02T04:00:00,1137867.8,0,321949.94,1963558,825690.25,0,1137867.8,0,0
2019-01-02T05:00:00,1001277.2,900286.3,0,2217074.5,315510.94,0,1001277.2,0,0
2019-01-02T06:00:00,903197.8,985278.2,0,1888476,0,29300.15,873897.7,0,0
2019-01-02T07:00:00,1410888.8,392089.25,0,1802978,0,646440.3,764448.44,0,0
2019-01-02T08:00:00,2502921.5,0,833827.2,1643305.9,0,1761132,741789.6,0,859615.6
2019-01-02T09:00:00,3953151,0,2898708,1824407.9,0,3300905.3,652245.7,0,2128743
2019-01-02T10:00:00,4567659.5,0,5709527.5,1669907.5,0,3959286,608373.4,0,2897752
2019-01-02T11:00:00,5064295,0,8638692,2044538.3,0,4614084.5,450210.56,0,3019756.8
2019-01-02T12:00:00,5979210.5,0,12296128,2208657.5,0,5565008,414202.6,0,3770553
2019-01-02T13:00:00,6089471,0,16383669,1875511,0,5650428.5,439042.38,0,4213960
2019-01-02T14:00:00,5256344.5,0,19889708,1641871.3,0,4762239,494105.66,0,3614473.3
2019-01-02T15:00:00,3724806,0,22318266,1221138.3,0,3014700.8,710105.2,0,2503667.8
2019-01-02T16:00:00,2643169,0,23242610,1690236.4,0,1663036.1,980132.8,0,952932.6
2019-01-02T17:00:00,1935081.6,0,23383474,1789860.4,0,597025,1338056.6,0,145221.25
2019-01-02T18:00:00,1764371.3,0,22385130,2742748.8,978377.5,0,1764371.3,0,0
2019-01-02T19:00:00,1833402.1,0,21632244,2571230,737827.9,0,1833402.1,0,0
2019-01-02T20:00:00,1828271.8,0,21189900,2261768.5,433496.75,0,1828271.8,0,0
2019-01-02T21:00:00,1511869.5,0,20637046,2053666.5,541797,0,1511869.5,0,0
2019-01-02T22:00:00,1078674.6,0,20246994,1460924.8,382250.13,0,1078674.6,0,0
2019-01-02T23:00:00,1234376.8,0,20078294,1399702.5,165325.75,0,1234376.8,0,0
2019-01-03T00:00:00,1495912,0,20255400,1313329,0,0,1495912,0,182583
2019-01-03T01:00:00,1774039.9,0,20836638,1174825.9,0,0,1774039.9,0,599214
2019-01-03T02:00:00,1889998.9,0,21821686,874485.8,0,0,1889998.9,0,1015513.06
2019-01-03T03:00:00,1581424.3,0,22007860,1389492.1,0,0,1581424.3,0,191932.13
2019-01-03T04:00:00,1298465,0,22040040,1265290.5,0,0,1298465,0,33174.5
2019-01-03T05:00:00,1054611.6,0,21561674,1523410.5,468798.88,0,1054611.6,0,0
2019-01-03T06:00:00,873638.06,0,20992410,1431516.1,557878.06,22595.102,851042.94,0,0
2019-01-03T07:00:00,1403983.5,0,20823482,1569533.6,165550.13,715970.75,688012.75,0,0
2019-01-03T08:00:00,1636007.8,0,21054758,1397579.5,0,1175312.6,460695.2,0,238428.25
2019-01-03T09:00:00,2128819.8,0,21743626,1418646.1,0,1512769.5,616050.2,0,710173.6
2019-01-03T10:00:00,3494321,0,23883824,1287930.4,0,2312599.3,1181721.6,0,2206390.5
2019-01-03T11:00:00,4935583.5,0,26700000,1425244.4,0,3558269,1377314.5,0,3510339
2019-01-03T12:00:00,6549140,0,26700000,1835480.9,0,4902953,1646186.8,0,4713659
2019-01-03T13:00:00,7132142.5,0,26700000,1840347.3,0,5411435,1720707.5,0,5291795
2019-01-03T14:00:00,6658318,0,26700000,1698358.5,0,4937856,1720461.8,0,4959959.5
2019-01-03T15:00:00,5372657,0,26700000,1407812.8,0,3475420.3,1897237,0,3964844.3
2019-01-03T16:00:00,3998098.5,0,26700000,1554060.5,0,2033375.3,1964723.1,0,2444038
2019-01-03T17:00:00,2889038,0,26700000,2030878.1,0,892965.75,1996072.3,0,858159.9
2019-01-03T18:00:00,1985737,0,26700000,1809585.8,0,0,1985737,0,176151.25
2019-01-03T19:00:00,1960901.9,0,26639996,2019705.5,58803.625,0,1960901.9,0,0
2019-01-03T20:00:00,1944040.9,0,26700000,1853575,0,0,1944040.9,0,90465.875
2019-01-03T21:00:00,1971101.4,0,26700000,1342608.5,0,0,1971101.4,0,628492.9
2019-01-03T22:00:00,1732093.8,0,26700000,1251549.4,0,0,1732093.8,0,480544.38
2019-01-03T23:00:00,1924889.4,0,26700000,1414264.8,0,0,1924889.4,0,510624.63
2019-01-04T00:00:00,1955817.5,0,26700000,1390867,0,0,1955817.5,0,564950.5
2019-01-04T01:00:00,1950237.1,0,26700000,1180369.9,0,0,1950237.1,0,769867.25
2019-01-04T02:00:00,1899482.6,0,26700000,1214292,0,0,1899482.6,0,685190.6
2019-01-04T03:00:00,1965272.3,0,26700000,1466466.5,0,0,1965272.3,0,498805.75
2019-01-04T04:00:00,1967634.9,0,26700000,1692124,0,0,1967634.9,0,275510.88
2019-01-04T05:00:00,1990089.4,0,26550192,2136901.3,146811.88,0,1990089.4,0,0
