generation,fitness
0,9315482
1,9235947
2,9209832
3,9209832
4,9209832
5,9209832
6,9195540
7,9171966
8,9159926
9,9099111
10,9084019
11,9091064
12,9063753
13,9031711
14,9030527
15,9004410
16,9003893
17,8964945
18,8941215
19,8917491
20,8894563
21,8867680
22,8861348
23,8851302
24,8820303
25,8768489
26,8768489
27,8768489
28,8768489
29,8742770
30,8712804
31,8703564
32,8675181
33,8664471
34,8675181
35,8650935
36,8606373
37,8606373
38,8595970
39,8570238
40,8554592
41,8530282
42,8511966
43,8498570
44,8475810
45,8472493
46,8459857
47,8435621
48,8422859
49,8422589
50,8400768
51,8363923
52,8369119.5
53,8369119.5
54,8348768.5
55,8335467
56,8334365
57,8324562
58,8310519
59,8282779
60,8279623.5
61,8272948.5
62,8256822
63,8251301
64,8235957.5
65,8220194.5
66,8215225
67,8199484.5
68,8186606
69,8185662
70,8165199
71,8165199
72,8155998
73,8149459.5
74,8134928.5
75,8110435.5
76,8102032
77,8087036
78,8084450
79,8084450
80,8062784.5
81,8047578
82,8032968.5
83,8029131.5
84,8008974
85,7994839
86,7994839
87,7994839
88,7977282
89,7963896.5
90,7963896.5
91,7947143.5
92,7930828
93,7927988
94,7925321
95,7902886
96,7902886
97,7894970.5
98,7886685
99,7873906
100,7873906
101,7866333.5
102,7859090
103,7854150
104,7840874
105,7833433
106,7830659
107,7825485
108,7813305
109,7797790
110,7797790
111,7783920
112,7779528.5
113,7778353
114,7773863
115,7758883.5
116,7758883.5
117,7742482
118,7742472
119,7735913
120,7727619
121,7722302
122,7717374.5
123,7710111.5
124,7708734
125,7701106.5
126,7697813
127,7684128
128,7684128
129,7684128
130,7672535.5
131,7672535.5
132,7664351
133,7653081.5
134,7653081.5
135,7649180
136,7646107
137,7635366
138,7627190
139,7623748
140,7611414
141,7611414
142,7611414
143,7610677
144,7605922
145,7604833
146,7595325
147,7592113.5
148,7590149.5
149,7584303
150,7580000.5
151,7572875.5
152,7572875.5
153,7565892.5
154,7565892.5
155,7565892.5
156,7561157.5
157,7554156.5
158,7550111.5
159,7545299.5
160,7538384
161,7538384
162,7533477
163,7528642
164,7526117.5
165,7522328
166,7516100
167,7516100
168,7498101.5
169,7498101.5
170,7495820
171,7495820
172,7484355
173,7481440.5
174,7481394.5
175,7475338.5
176,7475338.5
177,7474735.5
178,7472360.5
179,7469040.5
180,7466315.5
181,7461501.5
182,7456517
183,7451041
184,7447743.5
185,7444611
186,7443659
187,7437410
188,7425866
189,7425866
190,7425866
191,7424208.5
192,7420721
193,7400651
194,7400651
195,7402717.5
196,7401613.5
197,7401613.5
198,7396471
199,7395697.5
200,7385242
201,7380122.5
202,7380122.5
203,7377210
204,7374868.5
205,7373154.5
206,7369863
207,7361689
208,7361689
209,7355545
210,7354591
211,7347314
212,7349739
213,7348086
214,7341531
215,7338861.5
216,7332309.5
217,7328966.5
218,7328966.5
219,7328966.5
220,7325632.5
221,7324843
222,7317400
223,7315697.5
224,7311869.5
225,7311636.5
226,7299043
227,7296138.5
228,7296138.5
229,7295699.5
230,7286845.5
231,7286845.5
232,7283726
233,7278165
234,7277967
235,7274649.5
236,7267985.5
237,7262543
238,7262543
239,7255411
240,7247720.5
241,7247720.5
242,7247720.5
243,7243348.5
244,7241989
245,7237104.5
246,7237104.5
247,7227317
248,7224765.5
249,7224691.5
250,7215372.5
251,7212122
252,7212122
253,7199877.5
254,7199877.5
255,7196630.5
256,7194354
257,7192345
258,7187853
259,7187853
260,7183048.5
261,7181735
262,7178697.5
263,7173482.5
264,7172080.5
265,7162543.5
266,7162543.5
267,7157923.5
268,7157923.5
269,7145954
270,7145954
271,7145954
272,7136117
273,7136117
274,7135142
275,7135142
276,7134739
277,7129525
278,7127381
279,7125848
280,7120934
281,7120934
282,7116947
283,7111090.5
284,7111090.5
285,7105938.5
286,7105938.5
287,7105938.5
288,7103114
289,7098956
290,7097300
291,7095878.5
292,7093098
293,7089245.5
294,7089245.5
295,7086346
296,7082211
297,7081396
298,7078743.5
299,7071230
300,7071230
301,7067439
302,7067439
303,7067439
304,7060543
305,7058423
306,7058423
307,7053204
308,7047997
309,7042922
310,7042709
311,7039024.5
312,7032219.5
313,7031389.5
314,7030860
315,7029912.5
316,7020207
317,7016264.5
318,7016264.5
319,7016264.5
320,7007873.5
321,7007873.5
322,7007873.5
323,6990014.5
324,6990014.5
325,6990014.5
326,6977420
327,6977420
328,6976148
