month,solar,wind,wec,accumulator,diesel,used
1,624028709.7945851,861133895.3333925,150470045.9950212,379880652.46700037,1173535914.9599972,2782513586.9000044
2,1063433293.3555404,722539499.8045202,107988547.37193812,584444079.9600003,736826498.0499992,2607278203.500002
3,1604674330.3393366,535121046.44622064,72552406.97444265,862248218.6969981,458184074.0800006,2623897081.600002
4,1607907574.1977918,393764775.01101977,51516502.004688226,793023750.9589988,264205540.4200002,2248795955.499993
5,1703775583.1579788,339145561.07497567,47381210.405544795,873517717.6712984,296856387.79000014,2359014568.999995
6,2202222480.49,41932585.239999995,7402255.298000036,950400850.4799992,562400282.6000004,2777917068.600005
7,2291747309.7274656,183249457.9551394,28460486.70939464,721769902.0159997,1300324631.349998,3766745119.2000055
8,2201379720.651,48027689.66000002,10222857.22499995,467450604.9230002,2083391444.0999978,4319103770.600004
9,1749209403.9819999,120397131.89999996,26224215.066000026,479928993.1500001,1700525472.5249972,3571824637.200006
10,1443449002.1431842,287085259.8899523,39173739.744863175,674974498.7199996,952917076.2499976,2688121925.800005
11,783577878.9400225,857839117.8975725,116188532.26140323,493060776.1980007,691688041.4599998,2385512135.799996
12,400922555.5423956,935805639.979607,128710691.13399582,267096866.68000007,1179540885.6299968,2669276102.4000025
